year,year_type,state_name,state_code,category,variable_id,variable_name,value,unit,confidence,original_value,original_unit,notes
1978,FY,Australia (National),AUS,herd,herd_yield_per_cow,Yield per cow,2951.067,litres,high,2951.067,litres,
1978,FY,Australia (National),AUS,price,price_export_butter,Export butter price,124.9443,cents_per_kg,high,1249.443,cents_per_kg,
1978,FY,Australia (National),AUS,price,price_export_cheese,Export cheese price,133.6576,cents_per_kg,high,1336.576,cents_per_kg,
1978,FY,Australia (National),AUS,price,price_farmgate_avg,Average farmgate price,11.0,cents_per_litre,high,11.0,cents_per_litre,
1978,FY,Australia (National),AUS,price,price_farmgate_manufacturing,Farmgate price - manufacturing milk,8.461,cents_per_litre,high,8.461,cents_per_litre,
1978,FY,Australia (National),AUS,price,price_farmgate_market,Farmgate price - market milk,18.493,cents_per_litre,high,18.493,cents_per_litre,
1978,FY,Australia (National),AUS,production,prod_butter,Butter production,104750.0,tonnes,high,104.75,tonnes,
1978,FY,Australia (National),AUS,production,prod_cheese,Cheese production,142000.0,tonnes,high,142.0,tonnes,
1978,FY,Australia (National),AUS,production,prod_milk_total,Total milk production,5669.0,megalitres,high,5669.0,megalitres,
1978,CY,New South Wales,NSW,herd,herd_dairy_cattle,Dairy cattle numbers,493000.0,head,high,493000.0,head,
1978,FY,New South Wales,NSW,herd,herd_dairy_cows,Dairy cow numbers,320466.0,head,high,320.466,'000,
1978,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,7330000.0,head,high,7330000.0,head,
1978,FY,New South Wales,NSW,production,prod_milk_total,Total milk production,906.0,megalitres,high,906.0,ML,
1978,CY,Northern Territory,NT,herd,herd_total_cattle,Total cattle numbers,1674000.0,head,high,1674000.0,head,
1978,CY,Queensland,QLD,herd,herd_dairy_cattle,Dairy cattle numbers,394049.0,head,high,394049.0,head,
1978,FY,Queensland,QLD,herd,herd_dairy_cows,Dairy cow numbers,265367.0,head,high,265.367,'000,
1978,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,11490200.0,head,high,11490200.0,head,
1978,FY,Queensland,QLD,production,prod_milk_total,Total milk production,570.0,megalitres,high,570.0,ML,
1978,CY,South Australia,SA,herd,herd_dairy_cattle,Dairy cattle numbers,161000.0,head,high,161000.0,head,
1978,FY,South Australia,SA,herd,herd_dairy_cows,Dairy cow numbers,105050.0,head,high,105.05,'000,
1978,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,1242500.0,head,high,1242500.0,head,
1978,FY,South Australia,SA,production,prod_milk_total,Total milk production,332.0,megalitres,high,332.0,ML,
1978,CY,Tasmania,TAS,herd,herd_dairy_cattle,Dairy cattle numbers,169838.0,head,high,169838.0,head,
1978,FY,Tasmania,TAS,herd,herd_dairy_cows,Dairy cow numbers,110400.0,head,high,110.4,'000,
1978,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,733000.0,head,high,733000.0,head,
